Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
KEY,KeyCorp,18.21,19960114734,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/key
KEY^I,KeyCorp,28.5,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/key^i
KEYS,Keysight Technologies Inc.,38.98,7199612510,n/a,2014,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/keys
KRC,Kilroy Realty Corporation,70.92,6970260075,n/a,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/krc
KRC^H,Kilroy Realty Corporation,25.27,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/krc^h
KRP,Kimbell Royalty Partners,18.87,308198200,n/a,2017,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/krp
KMB,Kimberly-Clark Corporation,127.99,45427250591,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/kmb
KIM,Kimco Realty Corporation,18.92,8053394133,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/kim
KIM^I,Kimco Realty Corporation,25.08,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kim^i
KIM^J,Kimco Realty Corporation,25.13,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kim^j
KIM^K,Kimco Realty Corporation,25.05,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kim^k
KMI,"Kinder Morgan, Inc.",19.91,44447928104,n/a,2011,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/kmi
KMI.WS,"Kinder Morgan, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kmi.ws
KMI^A,"Kinder Morgan, Inc.",44.11,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kmi^a
KND,"Kindred Healthcare, Inc.",10.8,924843312,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/knd
KFS,"Kingsway Financial Services, Inc.",6.025,141050401.4,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kfs
KGC,Kinross Gold Corporation,4.14,5161690268,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/kgc
KEX,Kirby Corporation,67.45,3642704700,n/a,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/kex
KRG,Kite Realty Group Trust,18.7,1562818036,n/a,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/krg
KKR,KKR & Co. L.P.,18.36,8478607626,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/kkr
KKR^A,KKR & Co. L.P.,27.0501,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kkr^a
KKR^B,KKR & Co. L.P.,26.8001,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kkr^b
KFN^,KKR Financial Holdings LLC,26.07,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kfn^
KIO,KKR Income Opportunities Fund,17.57,268034496.5,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/kio
KREF,KKR Real Estate Finance Trust Inc.,22,1147835436,n/a,2017,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/kref
KMG,"KMG Chemicals, Inc.",56.02,665938478.3,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kmg
KNX,"Knight Transportation, Inc.",32.1,2581160230,n/a,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/knx
KNL,"Knoll, Inc.",22.92,1131465053,n/a,2004,Consumer Durables,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/knl
KNOP,KNOT Offshore Partners LP,22.55,806423944.7,n/a,2013,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/knop
KN,Knowles Corporation,17.64,1574089206,n/a,2014,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/kn
KSS,Kohl&#39;s Corporation,36.49,6289281168,n/a,1992,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/kss
PHG,Koninklijke Philips N.V.,35.61,32771028360,n/a,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/phg
KOP,Koppers Holdings Inc.,37.75,785440354.3,n/a,2006,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/kop
KEP,Korea Electric Power Corporation,19.38,24882527625,n/a,1994,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/kep
KEF,"Korea Equity Fund, Inc.",9.47,92243699.81,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kef
KF,"Korea Fund, Inc. (The)",40.3,273512392.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kf
KFY,Korn/Ferry International,32.35,1849163429,n/a,1999,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/kfy
KOS,Kosmos Energy Ltd.,6.81,2640194049,n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/kos
KRA,Kraton Corporation,34.52,1076445376,n/a,2009,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kra
KR,Kroger Company (The),29.52,26988374424,n/a,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/kr
KRO,Kronos Worldwide Inc,19.11,2214736213,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kro
KT,KT Corporation,15.86,7770500516,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/kt
KYO,Kyocera Corporation,58.85,21639873740,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/kyo
LB,"L Brands, Inc.",49.55,14112290410,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/lb
SCX,L.S. Starrett Company (The),9.7974,69153958.36,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/scx
LLL,"L3 Technologies, Inc.",165.32,12874681353,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/lll
LQ,La Quinta Holdings Inc.,13.37,1570751066,n/a,2014,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/lq
LH,Laboratory Corporation of America Holdings,139.32,14252436000,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/lh
LADR,Ladder Capital Corp,14.1,1561311626,n/a,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ladr
LW,"Lamb Weston Holdings, Inc.",42.2,6164093148,n/a,2016,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/lw
LDR,"Landauer, Inc.",52.1,502236862.3,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ldr
LCI,Lannett Co Inc,22.65,843272433.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lci
LPI,"Laredo Petroleum, Inc.",12.31,2985022504,n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lpi
LVS,Las Vegas Sands Corp.,58.65,46466518435,n/a,2004,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/lvs
LHO,LaSalle Hotel Properties,28.1,3181467444,n/a,1998,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lho
LHO^I,LaSalle Hotel Properties,25.64,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lho^i
LHO^J,LaSalle Hotel Properties,25.78,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lho^j
LFL,LATAM Airlines Group S.A.,12.47,7561903932,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/lfl
LDF,"Latin American Discovery Fund, Inc. (The)",11.2312,76305592.68,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ldf
LGI,Lazard Global Total Return and Income Fund,15.73,151090378,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/lgi
LAZ,Lazard Ltd.,44.63,5472030119,n/a,2005,Finance,Investment Managers,http://www.nasdaq.com/symbol/laz
LOR,"Lazard World Dividend & Income Fund, Inc.",10.7838,74194517.44,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/lor
LZB,La-Z-Boy Incorporated,27.45,1340025058,n/a,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/lzb
LCII,LCI Industries ,91.75,2285057697,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lcii
LFGR,Leaf Group Ltd.,8.4,171013416,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/lfgr
LEA,Lear Corporation,144.28,9939204501,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/lea
LEE,"Lee Enterprises, Incorporated",2,113300774,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/lee
BWG,Legg Mason BW Global Income Opportunities Fund Inc.,13.03,273497028.9,n/a,2012,n/a,n/a,http://www.nasdaq.com/symbol/bwg
LM,"Legg Mason, Inc.",37.32,3636719726,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/lm
LMHA,"Legg Mason, Inc.",26.49,0,n/a,2016,Finance,Investment Managers,http://www.nasdaq.com/symbol/lmha
LMHB,"Legg Mason, Inc.",24.12,0,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/lmhb
LEG,"Leggett & Platt, Incorporated",51.83,6857487722,n/a,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/leg
JBK,Lehman ABS Corporation,24.3151,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/jbk
KTH,Lehman ABS Corporation,32.1,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/kth
KTN,Lehman ABS Corporation,32.956,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ktn
KTP,Lehman ABS Corporation,17.64,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ktp
XKE,Lehman ABS Corporation,7.9283,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/xke
LDOS,"Leidos Holdings, Inc.",52.67,7954940923,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ldos
LEJU,Leju Holdings Limited,3.25,454055602,n/a,2014,Finance,Real Estate,http://www.nasdaq.com/symbol/leju
LC,LendingClub Corporation,5.83,2354503205,n/a,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/lc
LEN,Lennar Corporation,50.39,11814594601,n/a,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/len
LEN.B,Lennar Corporation,n/a,0,n/a,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/len.b
LII,"Lennox International, Inc.",166.18,7091507988,n/a,1999,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lii
LUK,Leucadia National Corporation,25.3,9103405065,n/a,n/a,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/luk
LVLT,"Level 3 Communications, Inc.",59.09,21354379634,n/a,2011,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/lvlt
LXP,Lexington Realty Trust,9.49,2281400555,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lxp
LXP^C,Lexington Realty Trust,50.34,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lxp^c
LPL,"LG Display Co., Ltd.",12.84,9188707176,n/a,2004,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lpl
USA,Liberty All-Star Equity Fund,5.53,1047600745,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/usa
ASG,"Liberty All-Star Growth Fund, Inc.",4.66,122728118,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asg
LPT,Liberty Property Trust,40.74,5997436435,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lpt
LSI,"Life Storage, Inc.",74.61,3469071410,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lsi
LITB,"LightInTheBox Holding Co., Ltd.",2.3008,158548822.8,n/a,2013,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/litb
LNC,Lincoln National Corporation,66.68,14954885912,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/lnc
LNC.WS,Lincoln National Corporation,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lnc.ws
LNN,Lindsay Corporation,84.49,900916616.5,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lnn
LN,LINE Corporation,33.85,7413031525,n/a,2016,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/ln
LGF.A,Lions Gate Entertainment Corporation,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lgf.a
LGF.B,Lions Gate Entertainment Corporation,n/a,0,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/lgf.b
LAD,"Lithia Motors, Inc.",89.76,2247461953,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/lad
LYV,"Live Nation Entertainment, Inc.",33.69,6927032366,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/lyv
LYG,Lloyds Banking Group Plc,3.62,64666464049,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/lyg
SCD,LMP Capital and Income Fund Inc.,14.08,253205286.4,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/scd
LMT,Lockheed Martin Corporation,271.26,78514322557,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/lmt
L,Loews Corporation,45.76,15407488599,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/l
LPX,Louisiana-Pacific Corporation,23.47,3397212184,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/lpx
LOW,"Lowe&#39;s Companies, Inc.",84.82,72718978105,n/a,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/low
LXU,Lsb Industries Inc.,8.19,232637793.6,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lxu
LKSD,"LSC Communications, Inc.",22.2,753511889.4,n/a,2016,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/lksd
LTC,"LTC Properties, Inc.",48.01,1899921238,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ltc
LUB,"Luby&#39;s, Inc.",2.75,80002549,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/lub
LL,"Lumber Liquidators Holdings, Inc",25.18,714712267.5,n/a,2007,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/ll
LXFR,Luxfer Holdings PLC,12.43,328152000,n/a,2012,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lxfr
LXFT,"Luxoft Holding, Inc.",64.2,2134102502,n/a,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/lxft
LUX,"Luxottica Group, S.p.A.",59.88,28561379467,n/a,1990,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/lux
LDL,"Lydall, Inc.",52.4,902783460.8,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/ldl
WLH,Lyon William Homes,23.5,750487563.5,n/a,2013,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/wlh
LYB,LyondellBasell Industries NV,81.04,32640975873,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lyb
MTB,M&T Bank Corporation,157.81,24281257640,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mtb
MTB.WS,M&T Bank Corporation,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mtb.ws
MTB^,M&T Bank Corporation,1039.98,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mtb^
MTB^C,M&T Bank Corporation,1055,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mtb^c
MDC,"M.D.C. Holdings, Inc.",35.09,1809286789,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/mdc
MHO,"M/I Homes, Inc.",29.06,720536655.5,n/a,1993,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/mho
MHO^A,"M/I Homes, Inc.",25.9326,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mho^a
MAC,Macerich Company (The),58.21,8252978699,n/a,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mac
CLI,Mack-Cali Realty Corporation,26.65,2395172534,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cli
MGU,Macquarie Global Infrastructure Total Return Fund Inc.,23.65,294875129.5,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/mgu
MIC,Macquarie Infrastructure Company,78.65,6482326944,n/a,2004,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/mic
MFD,Macquarie/First Trust Global,12.67,108240823.6,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/mfd
BMA,Macro Bank Inc.,86.91,5080437207,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bma
M,Macy&#39;s Inc,23.61,7205459002,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/m
MCN,Madison Covered Call & Equity Strategy Fund,7.92,152605910.2,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/mcn
MSP,Madison Strategic Sector Premium Fund,12.06,69927389.46,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/msp
MMP,Magellan Midstream Partners L.P.,73.79,16825931987,n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/mmp
MGA,"Magna International, Inc.",44.98,17104342685,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mga
MX,MagnaChip Semiconductor Corporation,9.15,310058300,n/a,2011,Technology,Semiconductors,http://www.nasdaq.com/symbol/mx
MH^A,"Maiden Holdings, Ltd.",25.6203,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mh^a
MH^C,"Maiden Holdings, Ltd.",25.8752,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mh^c
MHLA,"Maiden Holdings, Ltd.",25.85,0,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/mhla
MHNB,"Maiden Holdings, Ltd.",25.4875,0,n/a,2012,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mhnb
MHNC,"Maiden Holdings, Ltd.",26.29,0,n/a,2013,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mhnc
MAIN,Main Street Capital Corporation,38.4,2147426342,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/main
MSCA,Main Street Capital Corporation,26.1292,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/msca
MMD,MainStay DefinedTerm Municipal Opportunities Fund,19.66,541722728.2,n/a,2012,n/a,n/a,http://www.nasdaq.com/symbol/mmd
MNK,Mallinckrodt plc,46.79,4648426665,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mnk
MZF,Managed Duration Investment Grade Municipal Fund,13.5,91806426,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/mzf
MANU,Manchester United Ltd.,16.3,2673612064,n/a,2012,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/manu
MTW,"Manitowoc Company, Inc. (The)",6.03,847448053.5,n/a,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/mtw
MN,"Manning & Napier, Inc.",5.1,76776822.9,n/a,2011,Finance,Investment Managers,http://www.nasdaq.com/symbol/mn
MAN,ManpowerGroup,102.58,6880958281,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/man
MFC,Manulife Financial Corp,17.21,34019492615,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/mfc
MRO,Marathon Oil Corporation,14.33,12180381649,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mro
MPC,Marathon Petroleum Corporation,52.67,27321898911,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/mpc
MMI,"Marcus & Millichap, Inc.",24.12,918291767.8,n/a,2013,Finance,Real Estate,http://www.nasdaq.com/symbol/mmi
MCS,Marcus Corporation (The),32.4,899753605.2,n/a,n/a,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/mcs
MRIN,Marin Software Incorporated,1.5,59132160,n/a,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/mrin
MPX,Marine Products Corporation,12.97,453396907.3,n/a,n/a,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/mpx
HZO,"MarineMax, Inc.",18.65,488990075.6,n/a,1998,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/hzo
MKL,Markel Corporation,947.11,13206047227,n/a,1986,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mkl
VAC,Marriot Vacations Worldwide Corporation,111.8,3035209455,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/vac
MMC,"Marsh & McLennan Companies, Inc.",73.38,37729059406,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/mmc
MLM,"Martin Marietta Materials, Inc.",230.54,14439056327,n/a,1994,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/mlm
MAS,Masco Corporation,36.46,11643971261,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/mas
DOOR,Masonite International Corporation,73.2,2185523909,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/door
MTZ,"MasTec, Inc.",43.6,3606095745,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/mtz
MA,Mastercard Incorporated,117.13,1.29884E+11,n/a,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ma
MTDR,Matador Resources Company,23.5,2354423523,n/a,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mtdr
MTRN,Materion Corporation,35.6,711517976,n/a,n/a,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/mtrn
MATX,"Matson, Inc.",30.54,1316770275,n/a,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/matx
MLP,"Maui Land & Pineapple Company, Inc.",15,285186240,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/mlp
MMS,"Maximus, Inc.",63.44,4112315991,n/a,1997,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/mms
MXL,"MaxLinear, Inc",31.12,2037077918,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/mxl
MBI,"MBIA, Inc.",8.03,1082621094,n/a,1987,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mbi
MNI,McClatchy Company (The),9.73,74156124.7,n/a,1988,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/mni
MKC,"McCormick & Company, Incorporated",99.4,12393040017,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/mkc
MKC.V,"McCormick & Company, Incorporated",n/a,0,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/mkc.v
MDR,"McDermott International, Inc.",6.37,1808202176,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/mdr
MCD,McDonald&#39;s Corporation,145.36,1.18479E+11,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/mcd
MUX,McEwen Mining Inc.,2.91,907544962.1,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mux
MCK,McKesson Corporation,144.58,30658551028,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/mck
MDU,"MDU Resources Group, Inc.",26.24,5124786826,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/mdu
MJN,Mead Johnson Nutrition Company,88.95,16334778712,n/a,2009,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/mjn
MTL,Mechel PAO,5.5,1144744546,n/a,2004,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/mtl
MTL^,Mechel PAO,0.96,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mtl^
MRT,"MedEquities Realty Trust, Inc.",12.2,387648887.8,n/a,2016,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mrt
MPW,"Medical Properties Trust, Inc.",13.33,4276306416,n/a,2005,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mpw
MED,MEDIFAST INC,45.86,546972220,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/med
MCC,Medley Capital Corporation,6.19,337195366.1,n/a,2011,n/a,n/a,http://www.nasdaq.com/symbol/mcc
MCV,Medley Capital Corporation,25.34,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mcv
MCX,Medley Capital Corporation,25.65,0,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/mcx
MDLQ,Medley LLC,25.0601,0,n/a,2017,Finance,Investment Managers,http://www.nasdaq.com/symbol/mdlq
MDLX,Medley LLC,24.202,0,n/a,2016,Finance,Investment Managers,http://www.nasdaq.com/symbol/mdlx
MDLY,Medley Management Inc.,6.35,185055275.1,n/a,2014,Finance,Investment Managers,http://www.nasdaq.com/symbol/mdly
MD,"Mednax, Inc",55.27,5140974257,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/md
MDT,Medtronic plc,83.42,1.14192E+11,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/mdt
MRK,"Merck & Company, Inc.",63.57,1.73874E+11,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mrk
MCY,Mercury General Corporation,54.32,3004497703,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mcy
MDP,Meredith Corporation,55.1,2456883213,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/mdp
MTH,Meritage Corporation,40.2,1620626498,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/mth
MTOR,"Meritor, Inc.",16.49,1460530365,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mtor
MER^K,"Merrill Lynch & Co., Inc.",25.7,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mer^k
MER^P,"Merrill Lynch & Co., Inc.",26.6899,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mer^p
PIY,"Merrill Lynch Depositor, Inc.",25.6,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/piy
MTR,Mesa Royalty Trust,14.4,26835696,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mtr
MSB,Mesabi Trust,12.9,169248129,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/msb
